route_id,service_id,trip_id,shape_id,trip_headsign,trip_short_name,direction_id,block_id
"1-S40-W-j24-1","TA","10.TA.1-S40-W-j24-1.6.R","1-S40-W-j24-1.6.R","Tulln Bahnhof","S 21093","1",""
"1-S40-W-j24-1","TA+esq00","100.TA.1-S40-W-j24-1.20.R","1-S40-W-j24-1.20.R","Wien Franz-Josefs-Bahnhof","S 21057","1",""
"1-S40-W-j24-1","TA+esq00","101.TA.1-S40-W-j24-1.20.R","1-S40-W-j24-1.20.R","Wien Franz-Josefs-Bahnhof","S 21053","1",""
"1-S40-W-j24-1","TA+qag10","102.TA.1-S40-W-j24-1.20.R","1-S40-W-j24-1.20.R","Wien Franz-Josefs-Bahnhof","S 21049","1",""
"1-S40-W-j24-1","TA+esq00","103.TA.1-S40-W-j24-1.20.R","1-S40-W-j24-1.20.R","Wien Franz-Josefs-Bahnhof","S 21029","1",""
"1-S40-W-j24-1","TA+esq00","104.TA.1-S40-W-j24-1.20.R","1-S40-W-j24-1.20.R","Wien Franz-Josefs-Bahnhof","S 21065","1",""
"1-S40-W-j24-1","TA+esq00","105.TA.1-S40-W-j24-1.20.R","1-S40-W-j24-1.20.R","Wien Franz-Josefs-Bahnhof","S 21077","1",""
"1-S40-W-j24-1","TA+esq00","106.TA.1-S40-W-j24-1.20.R","1-S40-W-j24-1.20.R","Wien Franz-Josefs-Bahnhof","S 21045","1",""
"1-S40-W-j24-1","TA+i8z10","107.TA.1-S40-W-j24-1.21.R","1-S40-W-j24-1.21.R","Wien Franz-Josefs-Bahnhof","S 21073","1",""
"1-S40-W-j24-1","TA+6bg10","108.TA.1-S40-W-j24-1.22.R","1-S40-W-j24-1.22.R","Wien Franz-Josefs-Bahnhof","S 21017","1",""
"1-S40-W-j24-1","TA+6bg10","109.TA.1-S40-W-j24-1.23.R","1-S40-W-j24-1.23.R","Wien Franz-Josefs-Bahnhof","S 21013","1",""
